abandoned 	VBN 
union 	NN 
unique 	JJ 
united 	JJ 
unite 	VB 
unit 	NN 
universal 	JJ 
universe 	NN 
university 	NN 
unkind 	JJ 
unknown 	JJ 
unless 	IN 
unlike 	IN 
unlikely 	JJ 
unload 	VBP 
unlucky 	JJ 
unnecessary 	JJ 
unpleasant 	JJ 
unreasonable 	JJ 
unsteady 	JJ 
unsuccessful 	JJ 
until 	IN 
unusual 	JJ 
unusually 	RB 
unwilling 	JJ 
unwillingly 	RB 
up 	IN 
upon 	IN 
upper 	JJ 
upset 	JJ 
upside 	NN 
upstairs 	NN 
upward 	JJ 
upward 	RB 
upwards 	NNS 
urban 	JJ 
urge 	NN 
urgent 	JJ 
used 	VBN 
useful 	JJ 
useless 	JJ 
use 	NN 
user 	NN 
use 	VBP 
us 	PRP 
usual 	JJ 
usually 	RB 
vacation 	NN 
valid 	JJ 
valley 	NN 
valuable 	JJ 
value 	NN 
van 	NN 
variation 	NN 
varied 	VBD 
variety 	NN 
various 	JJ 
vary 	VBP 
vast 	JJ 
vegetable 	NN 
vehicle 	NN 
venture 	NN 
version 	NN 
vertical 	JJ 
very 	RB 
via 	IN 
victim 	NN 
victory 	NN 
video 	NN 
view 	NN 
view 	VBP 
violence 	NN 
violent 	JJ 
violently 	RB 
virtually 	RB 
virus 	NN 
visible 	JJ 
vision 	NN 
visit 	NN 
visitor 	NN 
vital 	JJ 
vmedical 	JJ 
vocabulary 	NN 
voice 	NN 
volume 	NN 
vote 	NN 
wage 	NN 
waist 	NN 
waiter 	NN 
waitress 	NN 
wait 	VB 
wake 	NN 
walking 	VBG 
walk 	NN 
wallet 	NN 
wall 	NN 
wander 	VBP 
want 	VBP 
warm 	JJ 
warmth 	NN 
warning 	NN 
war 	NN 
warn 	VBP 
wash 	NN 
waste 	NN 
watch 	NN 
water 	NN 
wave 	NN 
way 	NN 
weak 	JJ 
weakness 	NN 
wealth 	NN 
weapon 	NN 
wear 	NN 
weather 	NN 
web 	NN 
Web 	NN 
website 	NN 
wedding 	NN 
Wednesday 	NNP 
weekend 	NN 
weekly 	JJ 
week 	NN 
weight 	NN 
weigh 	VBP 
weird 	JJ 
welcome 	JJ 
well 	RB 
we 	PRP 
western 	JJ 
west 	JJ 
west 	NN 
west 	RB 
wet 	JJ 
whatever 	WDT 
what 	WDT 
what 	WP 
wheel 	NN 
whenever 	WRB 
when 	WRB 
whereas 	IN 
wherever 	WRB 
where 	WRB 
whether 	IN 
which 	WDT 
while 	IN 
whisper 	NN 
whistle 	VBP 
white 	JJ 
whoever 	WP 
whole 	JJ 
whom 	WP 
whose 	WP$ 
who 	WP 
why 	WRB 
wide 	JJ 
widely 	RB 
width 	NN 
wife 	NN 
wild 	JJ 
wildly 	RB 
willing 	JJ 
willingly 	RB 
willingness 	NN 
will 	MD 
wind 	NN 
window 	NN 
wind 	VB 
wine 	NN 
wing 	NN 
winner 	NN 
winning 	VBG 
winter 	NN 
win 	VBP 
wire 	NN 
wise 	JJ 
wish 	NN 
withdraw 	VBP 
with 	IN 
within 	IN 
without 	IN 
witness 	NN 
woman 	NN 
wonderful 	JJ 
wonder 	NN 
wooden 	JJ 
wood 	NN 
wool 	NN 
word 	NN 
worker 	NN 
working 	VBG 
work 	NN 
world 	NN 
worried 	JJ 
worrying 	JJ 
worry 	NN 
worship 	NN 
worth 	NN 
would 	MD 
wounded 	VBD 
wound 	NN 
wrap 	NN 
wrist 	NN 
writer 	NN 
write 	VB 
writing 	VBG 
written 	VBN 
wrong 	JJ 
wrongly 	RB 
yard 	NN 
yawn 	JJ 
yawn 	NN 
yeah 	NN 
year 	NN 
yellow 	JJ 
yesterday 	NN 
yes 	UH 
yet 	RB 
young 	JJ 
you 	PRP 
your 	PRP$ 
yourself 	PRP 
yours 	PRP$ 
youth 	NN 
zero 	CD 
zone 	NN
